email,label
"Hi, can we schedule a meeting for tomorrow? Please confirm the time.",0
Thank you for your recent purchase! Your order will arrive soon.,0
"Hello team, meeting at 3pm regarding project status.",0
Please find the attached report for last quarter.,0
"Hey, are we still on for lunch tomorrow at noon?",0
Reminder: the quarterly team offsite is scheduled for next Thursday in the main conference room.,0
"Attached is the invoice for last month's consulting work, let me know if you have any questions.",0
"Happy birthday! Hope you have a wonderful day, let's catch up soon.",0
"Your flight itinerary for next week has been confirmed, boarding starts at 9:40am.",0
The library book you requested is now available for pickup at the front desk.,0
"Here are the meeting notes from today's stand-up, please review before tomorrow.",0
"Just a heads up, the office will be closed on Monday for the public holiday.",0
"Thanks for sending over the draft, I left a few comments in the shared doc.",0
Your order has shipped and is expected to arrive within 3-5 business days.,0
Can you send me the updated slides before our call this afternoon?,0
The plumber is scheduled to come by between 10am and 2pm on Friday.,0
"Great catching up with you at the conference, let's set up a follow-up call next week.",0
Your subscription receipt for this month is attached for your records.,0
Reminder that your dentist appointment is confirmed for Tuesday at 2pm.,0
"The project deadline has been moved to next Friday, please adjust your schedule accordingly.",0
"Thanks for the feedback on the proposal, I've made the changes you suggested.",0
Weekly newsletter: here's what happened in the community this week.,0
Your monthly bank statement is now available to view in online banking.,0
Looking forward to seeing everyone at the family reunion this weekend.,0
"The contractor finished the kitchen renovation ahead of schedule, invoice attached.",0
