email,label
Congratulations! You've won a free iPhone!!! Click here to claim now!,1
Urgent: Your account has been compromised. Please click this link to secure it.,1
"Dear customer, your account has been suspended due to unusual activity. Verify your identity immediately or it will be permanently deleted.",1
Your PayPal account has been limited. Log in now to restore full access before it is closed.,1
We noticed a suspicious sign-in attempt. Confirm your password within 24 hours to avoid suspension.,1
Your package could not be delivered. Click here to reschedule and pay a small redelivery fee.,1
IRS Notice: You are eligible for a tax refund. Submit your bank details to claim it now.,1
Your Netflix payment has failed. Update your billing information immediately to avoid service interruption.,1
Final notice: your mailbox storage is full and will be deactivated. Verify now to keep receiving mail.,1
You have been selected for a $1000 gift card. Complete this short survey to redeem your reward.,1
Security Alert: unusual login detected from a new device. Click below to review and secure your account.,1
Your Apple ID has been locked for security reasons. Verify your identity here to unlock it.,1
Action required: your subscription will be cancelled unless you confirm your payment details today.,1
We could not process your invoice payment. Update your card details within 48 hours to avoid late fees.,1
Your bank account has been flagged for suspicious activity. Log in immediately to verify your identity.,1
HR Department: Your payroll information needs to be updated before Friday or your paycheck will be delayed.,1
Your document has been shared with you. Click here to view the confidential file before it expires.,1
Amazon: There was an issue with your recent order. Confirm your payment method to avoid cancellation.,1
You have one unread encrypted message. Sign in with your credentials to view it now.,1
Your Microsoft 365 subscription has expired. Renew immediately to prevent loss of your files.,1
This is your final warning: unpaid invoice attached. Failure to pay within 24 hours will result in legal action.,1
"Congratulations, you have been selected for a exclusive investment opportunity guaranteed to double your money.",1
Your webmail quota has exceeded its limit. Click here to upgrade or your account will be suspended.,1
"Verify your DocuSign document now, it will expire in 2 hours and cannot be recovered afterward.",1
We detected malware on your computer. Download this tool immediately to remove the infection.,1
